model,horizon_days,MAE,MAPE,RMSE,R2
seasonal_naive,7,3.7176,0.4611,8.1722,0.5027
linear,7,1.6503,0.5957,2.8868,0.9418
random_forest,7,4.7078,0.3128,10.3238,0.2555
xgboost,7,4.6552,0.297,10.3121,0.2572
lightgbm,7,4.6837,0.306,10.3808,0.2472
seasonal_naive,14,3.7506,0.4617,8.2536,0.4934
linear,14,2.6897,0.9268,4.2912,0.8715
random_forest,14,4.6423,0.3309,10.1871,0.2757
xgboost,14,4.6188,0.3312,10.1715,0.2779
lightgbm,14,4.6352,0.3382,10.1632,0.2791
seasonal_naive,21,3.7838,0.4618,8.3199,0.4859
linear,21,2.6995,0.8966,4.4415,0.8624
random_forest,21,4.8576,0.3507,10.5593,0.2225
xgboost,21,4.8175,0.3489,10.4783,0.2343
lightgbm,21,4.8349,0.3546,10.4793,0.2342
seasonal_naive,28,3.8243,0.4629,8.3641,0.481
linear,28,2.6162,0.7724,4.4216,0.8638
random_forest,28,4.8274,0.3439,10.5267,0.2279
xgboost,28,4.8624,0.354,10.5451,0.2252
lightgbm,28,4.9308,0.3599,10.6834,0.2048
seasonal_naive,30,3.8354,0.4633,8.3744,0.48
linear,30,2.669,0.7529,4.4808,0.8601
random_forest,30,4.8532,0.3432,10.583,0.2196
xgboost,30,4.8229,0.3503,10.4792,0.2349
lightgbm,30,4.8943,0.3499,10.6501,0.2097
seasonal_naive,60,4.0551,0.4782,8.6165,0.4524
linear,60,3.0645,0.7156,5.4041,0.7974
random_forest,60,5.2681,0.3751,11.297,0.1146
xgboost,60,5.142,0.3704,11.0629,0.1509
lightgbm,60,5.1649,0.3733,11.0727,0.1494
seasonal_naive,90,4.2791,0.5037,8.8123,0.4302
linear,90,3.2119,0.6142,5.9279,0.7573
random_forest,90,4.9562,0.3597,10.6924,0.2103
xgboost,90,5.013,0.3564,10.7947,0.1951
lightgbm,90,4.9987,0.3537,10.7465,0.2023
