date,USD_EUR,USD_RUB,TRY_per_USD,USD_ZAR,TRY_EUR,TRY_RUB,TRY_ZAR
2006-12-25,0.7593,26.333,1.4153,6.995,1.863953641511919,0.05374624995253105,0.2023302358827734
2007-01-01,0.75913,26.335,1.4181,7.0174,1.8680594891520557,0.05384849060186064,0.20208339270955053
2007-01-08,0.77053,26.566,1.4424,7.2714,1.8719582624946463,0.05429496348716404,0.1983662018318343
2007-01-15,0.77298,26.559,1.4257,7.2001,1.8444202954798312,0.05368048495801799,0.19801113873418424
2007-01-22,0.77089,26.516,1.4163,7.158,1.837227101142835,0.053413033640066374,0.19786253143336124
2007-01-29,0.77059,26.522,1.4176,7.2617,1.8396293748945614,0.05344996606590755,0.1952159962543206
2007-02-05,0.77083,26.46,1.4028,7.1885,1.8198565182984576,0.053015873015873016,0.19514502330110592
2007-02-12,0.76552,26.308,1.3984,7.2246,1.826732155920159,0.053154933860422686,0.1935608891841763
2007-02-19,0.7615,26.221,1.3826,7.1057,1.815627051871307,0.05272872888143092,0.19457618531601392
2007-02-26,0.75769,26.149,1.4133,7.2418,1.8652747165727408,0.054047955944778,0.19515866221105252
2007-03-05,0.7619,26.229,1.4338,7.419,1.8818742617141355,0.05466468412825499,0.19326054724356384
2007-03-12,0.75632,26.131,1.4139,7.4276,1.8694467950074043,0.05410814741112089,0.19035758522268295
2007-03-19,0.75109,26.027,1.3914,7.3132,1.8525076888255734,0.053459868597994384,0.1902587102773068
2007-03-26,0.75041,26.016,1.3891,7.2741,1.8511213869751202,0.05339406519065191,0.19096520531749633
2007-04-02,0.74839,25.983,1.3781,7.2036,1.8414195806999025,0.05303852518954701,0.19130712421566995
2007-04-09,0.74289,25.883,1.3734,7.1607,1.8487259217380767,0.053061855271800025,0.1917968913653693
2007-04-16,0.73654,25.763,1.3523,7.0815,1.8360170527058952,0.05249000504599619,0.19096236673021252
2007-04-23,0.73502,25.735,1.3368,7.0334,1.8187260210606513,0.05194482222653973,0.19006454915119286
2007-04-30,0.73573,25.747,1.3574,7.0134,1.8449703016052084,0.05272070532489222,0.19354378760658167
2007-05-07,0.73833,25.794,1.3413,6.9519,1.8166673438706267,0.052000465224470806,0.1929400595520649
2007-05-14,0.73904,25.806,1.33,6.9698,1.799631954968608,0.051538401922033635,0.1908232660908491
