date,trend_portakal_fiyat,trend_portakal,trend_narenciye,trend_hal_fiyatları,trend_meyve_fiyat
2007-01-01,0,78,3,1,0
2007-02-01,0,83,2,1,0
2007-03-01,0,73,2,1,0
2007-04-01,0,59,1,1,0
2007-05-01,0,60,1,2,0
2007-06-01,0,56,1,1,0
2007-07-01,0,53,1,1,0
2007-08-01,0,51,1,1,0
2007-09-01,0,89,2,1,0
2007-10-01,0,85,2,1,0
2007-11-01,0,75,2,2,0
2007-12-01,0,65,2,1,0
2008-01-01,0,68,2,1,0
2008-02-01,0,65,2,2,0
2008-03-01,0,68,2,2,0
2008-04-01,0,67,2,2,0
2008-05-01,0,58,1,2,0
2008-06-01,0,52,1,2,0
2008-07-01,0,52,1,1,0
2008-08-01,0,53,1,1,0
2008-09-01,0,86,2,1,0
2008-10-01,0,70,2,2,0
2008-11-01,0,72,3,2,0
2008-12-01,0,70,2,2,0
2009-01-01,0,73,2,2,0
2009-02-01,0,79,2,2,0
2009-03-01,0,69,2,2,0
2009-04-01,0,76,2,5,0
2009-05-01,0,55,1,5,0
2009-06-01,0,52,1,4,0
2009-07-01,0,47,1,3,0
2009-08-01,0,61,1,2,0
2009-09-01,0,77,1,2,0
2009-10-01,0,80,2,3,1
2009-11-01,0,66,4,4,1
2009-12-01,0,72,3,6,0
2010-01-01,0,64,3,5,0
2010-02-01,0,59,2,7,0
2010-03-01,0,62,2,6,0
2010-04-01,0,56,2,6,0
2010-05-01,0,54,1,6,0
2010-06-01,0,47,1,4,0
2010-07-01,0,45,1,2,0
2010-08-01,0,69,1,3,0
2010-09-01,0,53,1,3,0
2010-10-01,0,64,2,5,0
2010-11-01,0,53,3,6,0
2010-12-01,0,64,3,6,0
2011-01-01,0,64,3,6,0
2011-02-01,0,64,2,7,0
2011-03-01,0,67,2,7,0
2011-04-01,0,58,1,6,0
2011-05-01,0,49,1,5,0
2011-06-01,0,50,1,4,0
2011-07-01,0,41,1,3,0
2011-08-01,0,75,1,3,0
2011-09-01,0,52,1,4,0
2011-10-01,0,72,2,4,0
2011-11-01,0,56,4,4,0
2011-12-01,0,65,3,6,0
2012-01-01,0,67,2,6,0
2012-02-01,0,65,2,4,0
2012-03-01,0,59,2,4,0
2012-04-01,0,54,2,7,0
2012-05-01,0,51,1,7,0
