date,min_price,max_price,product,market,avg_price
2007-01-02,1.4,1.8,portakal,istanbul,1.6
2007-12-06,1.0,1.6,portakal,istanbul,1.3
2007-12-07,1.0,1.6,portakal,istanbul,1.3
2007-12-10,1.0,1.6,portakal,istanbul,1.3
2007-12-11,1.0,1.6,portakal,istanbul,1.3
2007-12-12,1.0,1.6,portakal,istanbul,1.3
2007-12-13,1.0,1.6,portakal,istanbul,1.3
2007-12-14,1.0,1.6,portakal,istanbul,1.3
2007-12-17,1.0,1.6,portakal,istanbul,1.3
2007-12-18,1.2,1.6,portakal,istanbul,1.4
2007-12-19,1.2,1.6,portakal,istanbul,1.4
2007-12-24,1.5,2.0,portakal,istanbul,1.75
2007-12-25,1.5,2.0,portakal,istanbul,1.75
2007-12-26,1.3,1.8,portakal,istanbul,1.55
2007-12-27,1.3,1.8,portakal,istanbul,1.55
2007-12-28,1.3,1.8,portakal,istanbul,1.55
2007-12-31,1.3,1.8,portakal,istanbul,1.55
2008-01-03,1.4,1.8,portakal,istanbul,1.6
2008-01-04,1.4,1.8,portakal,istanbul,1.6
2008-01-07,1.4,1.8,portakal,istanbul,1.6
2008-01-08,1.4,1.8,portakal,istanbul,1.6
2008-01-09,1.4,1.8,portakal,istanbul,1.6
2008-01-10,1.7,2.0,portakal,istanbul,1.85
2008-01-11,1.7,2.0,portakal,istanbul,1.85
2008-01-14,1.7,2.0,portakal,istanbul,1.85
2008-01-15,1.7,2.0,portakal,istanbul,1.85
2008-01-16,1.7,2.0,portakal,istanbul,1.85
2008-01-17,2.0,3.5,portakal,istanbul,2.75
2008-01-18,2.0,3.5,portakal,istanbul,2.75
2008-01-21,1.3,2.0,portakal,istanbul,1.65
2008-01-22,1.3,2.0,portakal,istanbul,1.65
2008-01-23,1.3,2.0,portakal,istanbul,1.65
2008-01-24,1.3,2.0,portakal,istanbul,1.65
2008-01-25,1.3,2.0,portakal,istanbul,1.65
2008-01-28,1.3,2.0,portakal,istanbul,1.65
2008-01-29,0.8,2.0,portakal,istanbul,1.4
2008-01-30,0.8,2.0,portakal,istanbul,1.4
2008-01-31,0.8,2.0,portakal,istanbul,1.4
2008-02-01,0.8,2.0,portakal,istanbul,1.4
2008-02-04,0.8,2.0,portakal,istanbul,1.4
2008-02-05,0.8,2.0,portakal,istanbul,1.4
2008-02-06,0.8,2.0,portakal,istanbul,1.4
2008-02-07,1.5,2.5,portakal,istanbul,2.0
2008-02-08,1.5,2.5,portakal,istanbul,2.0
2008-02-11,1.5,2.5,portakal,istanbul,2.0
2008-02-12,1.5,2.5,portakal,istanbul,2.0
2008-02-13,1.5,2.5,portakal,istanbul,2.0
2008-02-14,1.5,2.5,portakal,istanbul,2.0
2008-02-15,1.5,2.5,portakal,istanbul,2.0
2008-02-18,1.5,2.5,portakal,istanbul,2.0
2008-02-19,1.5,2.5,portakal,istanbul,2.0
2008-02-20,1.5,2.5,portakal,istanbul,2.0
2008-02-21,1.5,2.8,portakal,istanbul,2.15
2008-02-22,1.5,2.8,portakal,istanbul,2.15
2008-02-25,1.5,2.8,portakal,istanbul,2.15
2008-02-26,1.5,2.8,portakal,istanbul,2.15
2008-02-27,1.5,2.8,portakal,istanbul,2.15
2008-02-28,1.4,2.5,portakal,istanbul,1.95
2008-02-29,1.4,2.5,portakal,istanbul,1.95
2008-03-03,1.4,2.5,portakal,istanbul,1.95
2008-03-04,1.4,2.5,portakal,istanbul,1.95
2008-03-05,1.4,2.0,portakal,istanbul,1.7
2008-03-06,1.2,1.8,portakal,istanbul,1.5
2008-03-07,1.2,1.8,portakal,istanbul,1.5
2008-03-10,1.2,1.8,portakal,istanbul,1.5
2008-03-11,1.2,1.8,portakal,istanbul,1.5
2008-03-12,1.2,1.8,portakal,istanbul,1.5
2008-03-13,1.2,1.6,portakal,istanbul,1.4
2008-03-14,1.2,1.6,portakal,istanbul,1.4
2008-03-17,1.0,2.0,portakal,istanbul,1.5
2008-03-18,1.0,2.0,portakal,istanbul,1.5
2008-03-19,1.2,2.2,portakal,istanbul,1.7000000000000002
2008-03-20,1.2,2.2,portakal,istanbul,1.7000000000000002
2008-03-21,1.2,2.2,portakal,istanbul,1.7000000000000002
2008-03-24,1.2,2.2,portakal,istanbul,1.7000000000000002
2008-03-25,1.2,2.2,portakal,istanbul,1.7000000000000002
2008-03-26,1.2,1.8,portakal,istanbul,1.5
2008-03-27,1.5,2.5,portakal,istanbul,2.0
2008-03-28,1.0,2.5,portakal,istanbul,1.75
2008-03-31,1.0,2.0,portakal,istanbul,1.5
2008-04-01,1.0,2.0,portakal,istanbul,1.5
2008-04-02,1.0,2.0,portakal,istanbul,1.5
2008-04-03,1.0,1.8,portakal,istanbul,1.4
2008-04-04,1.0,1.8,portakal,istanbul,1.4
2008-04-07,1.0,1.8,portakal,istanbul,1.4
2008-04-08,1.0,1.8,portakal,istanbul,1.4
2008-04-09,1.0,1.8,portakal,istanbul,1.4
2008-04-10,1.0,2.2,portakal,istanbul,1.6
2008-04-11,1.0,2.2,portakal,istanbul,1.6
2008-04-14,1.0,2.2,portakal,istanbul,1.6
2008-04-15,1.0,2.2,portakal,istanbul,1.6
2008-04-16,1.0,2.2,portakal,istanbul,1.6
2008-04-17,1.0,2.4,portakal,istanbul,1.7
2008-04-18,1.0,22.0,portakal,istanbul,11.5
2008-04-21,1.0,22.0,portakal,istanbul,11.5
2008-04-22,1.0,2.0,portakal,istanbul,1.5
2008-04-24,1.0,2.0,portakal,istanbul,1.5
2008-04-25,1.0,2.2,portakal,istanbul,1.6
2008-04-28,1.0,2.2,portakal,istanbul,1.6
2008-04-29,1.0,2.2,portakal,istanbul,1.6
2008-04-30,1.0,2.2,portakal,istanbul,1.6
2008-05-01,1.0,1.6,portakal,istanbul,1.3
2008-05-02,1.0,1.6,portakal,istanbul,1.3
2008-05-05,1.0,1.6,portakal,istanbul,1.3
2008-05-06,1.0,1.6,portakal,istanbul,1.3
2008-05-07,1.0,1.6,portakal,istanbul,1.3
