date,title,link,relevant,sentiment,event_type,magnitude,confidence,llm_summary
2026-04-20,Mersin’de narenciye bahçelerinin bulunduğu Davultepe Mahallesi'ni 'organize tarım bölgesi' yapma çalışmaları protesto edildi - Cumhuriyet,https://news.google.com/rss/articles/CBMi_AFBVV95cUxOcHFpdjJnb2U4dWRsRXdaYTU5NElrN1ZEMWxoWS1CYTllR1FSUUcxYTBzalNLZUVWYjhkYkJFTVZiVUppUEVEdXVhOWxadWlBdkFwVGJIRTNkNFc4X1AtZTBQWVM5ejNPMXI4YUd0ZUpOSm9ld0JRR3l0eXVqbFEyVU0yQUtYdl9nc2M1MlBwd2laZm02RzlxR0lMR0Y4UnNkZnBBSHNibDFQVE9qUFdBR1FuZUw2Y2hsNTJyZlNYWVNhU2ROWkZwX3QyWE0yQzhvX2twTE9hUkk5TzlWc0phbWg3OXFHRF9Xb1p1eFBpcU5FX0VzR2VnZUt2aE4?oc=5,True,bearish,policy,2,0.7,Protests against converting citrus orchards to organized farming zone may disrupt supply.
2026-04-21,Antalya halinde fiyatlar uçuşta! 21 Nisan 2026 tezgah fiyatları - Antalya Körfez,https://news.google.com/rss/articles/CBMilwFBVV95cUxOb2s2NS0tdFBzeS1EQ0c3eEg0SFJpOFh3ZFd1aXEwSVBHcGE1SkVtVlZBdGIyVEt3YWw2cEplZDZ1eEZjZDBpclZvOG5RSGNyNTR0T195ZW9xMTl3eW1OajVLMV9jTGlzNkdoRkp4U1hfejFYeURMN0cwOE9URUdoTGFabWRLeF9TZDJUVE95RkhMczBhdnBv?oc=5,False,neutral,other,1,0.9,"Article lists general market prices in Antalya, no specific orange information."
2026-04-22,Meyve sebzeye bir 'haller' oldu - Antalya 3T,https://news.google.com/rss/articles/CBMiZkFVX3lxTFAzZ1Bub1NKaTRhMGlFblE2c2pHbmdWaTdOY0l6OHF3NUQxcFFOMnVnMEhWZldXMktZbmxLeHA2ZUVYRUhsbGNESHR1SHhPeGk5UnVoVURPSzV1Rk1KUS0zR0lBUklJUdIBa0FVX3lxTFAyNmVtZ1FLUFFBY2duc2RKRFBUenRZT3B1dXNmTzhnTnp4VXR3V1lKcElwSmZjbnFkOXZna3lZdnBkYUROZ2VMcURIcmNkNVNTbUE2WndJVThEa01sSzJPdHRka2xxNHV6M2xN?oc=5,False,neutral,other,1,0.9,"Article title and summary are generic, no specific info on Turkish oranges."
2026-04-24,Narenciyede 697 Milyon Dolarlık Dev İhracat: Zirve Irak ve Rusya'nın! - Memleket,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPQWFOOU9sZEFkTkd4T1VjQnI1a000QzJ5SGRlMENwT1VjY1RBbjZYMUVTUnNranhKMEJNOUVfejJxQmxjUHhMejdPXzNZUmk0dFJNZ3pmdGVlYmJJanRwN3JTY213YWpJN0ZDYm5zT254Z1ZybnkyQWZRbWtVNWVKNHRvUmlXaGxhUUtrZXBqNkh0Y0V0cEtCT1dUeWNLcjdJWXY0U196UWdncHfSAbsBQVVfeXFMTlpLUjhKdVdKblNpaER4QkV5bWRmdnF0S2dRa2gzRnJKRlB4VVl4eFZaM3NwMTVTWS1uNWh4OU12Q2hTMWJ1eHRQSWRoYUVLT1dYUXZoTzg5aEdIa0JXdUJXNk1ZQllZRWxieFI1S2NCcHBwVG5LZGZDWU1qSXVsOGV1VkRzU3VxdzJtS0dKTk1iM18zN1pVZmNjT042VWhQWEFWcjRlRlZDcDlHcWVZdng4aHFRRmpabWl1aw?oc=5,True,bullish,trade,2,0.8,"Turkey's citrus exports reached $697 million, with top buyers Iraq and Russia, indicating strong demand."
2026-04-24,Bakan Yumaklı’dan Antalya’da biyolojik mücadele vurgusu - haberimizvar.net,https://news.google.com/rss/articles/CBMioAFBVV95cUxPVVctVnhUbXFfZ0duSGRfVTJwZFNadVJEUXdweVdNVEozSmN2MzR1bmZWeFZ2Y0MxUEZuM3pDM0hWTGR1QThsOW5OaUlDMnZVUjVrNXlRUEkyTV9fSHJsNF9nQ2VYTHBQZGVIVkdfM3dNRXl2aWliakhQT2g4QldiWWhucVhhcHp1X1JMM2dpbEFzdkIwalhHS3ZGUGF5WlJu?oc=5,False,neutral,other,1,0.9,"Article about biological control in Antalya, not directly related to orange prices."
2026-04-27,Fiyatlar düşmek bilmiyor! Antalya Hali'nde durum vahim - Alanya Postası,https://news.google.com/rss/articles/CBMijgFBVV95cUxNRFdoa1pERnFPVVltZHI5UWJkRzdqb0Fpbi1YSFZtWU0zR3o2ZVM1OUdGaFpGR3BiRnlrbS1oUnRMcFM2VzR6MzVacnVqY01CSzFXWkVRQUE5RVN4WWlHd1NjY2Zzc1ZhM1dCUjlMQ1Fpd211aWozVzB6RnRtellTS1NuRFROdEVLZW9SRFhR?oc=5,False,neutral,other,1,0.3,Article title mentions falling prices in Antalya market but summary lacks specific details on oranges.
2026-05-02,"Bakan Uraloğlu: ""Zeytin ve Narenciye Pazara Daha Hızlı Ulaşacak"" - Sonses.tv",https://news.google.com/rss/articles/CBMiwwFBVV95cUxPY3lyYlN4ZGNyMThseDMxU0cyOWhYN3FzQndYWmhjLUNCQ2VTOUZuS203ekNuSzg2OEVDZVBkSHpnVzlZR0Y1WFp6Q1dSNE1sYkRMSE5CUGdUN2pnMDN0bUk1Zk1XZnViODRfQkZKN0dVMXduMHZtTWF3Q0ZGMV9mdjRPNG1EUmhuNlZKM0N4ZnpobTRQQmNHS2FrUG82Y3ZOMzJFVUF0dmhLR3AzUy14NE56TFBPWXppcENZYVJsWW1DN2vSAcgBQVVfeXFMUFJad05UbDY0aElPT1ptdWc5MVlVX1BBb3VIeUlnS3JRZG9WdUtLNWpBNVhMZkw5OXE1WFljY3VybzFfTDJVRUI4MnZhWnVILWRfXzEwZ05QMGpiOGVVMEI2ZU1YajliNGxUZU80QklWTEZmbkRSdlVZQ3hvQ2x6SkotYVZSMGdRNkZlRzZUVlhJVTc3X3JXM0FCMGtTQVE4d2xuRVRPRzg5NzZhbTdOV29mTEdDU0hsa2tRSnFFUDBFWUwzSF96VEE?oc=5,True,bullish,policy,2,0.7,"Minister says olives and citrus will reach market faster, implying improved logistics and potential price support."
2026-05-02,"Bakan Uraloğlu: ""Zeytin ve Narenciye Pazara Daha Hızlı Ulaşacak"" - Sonses.tv",https://news.google.com/rss/articles/CBMikwFBVV95cUxQd3JlS29VNndmVjhLcm80NFc2SUpMSjFlRmNqR0toMS1WcnZIQTBvbURUZkVYZk1KOHpkUmpyenlIWV9kNnIwRGJKLWJTMkpMcnJHcjNsT1RsYVNwN1VmdmpEV0RFYWVid2JpWklvRWc0RXc5RUU5eHJHby1DMFh6dTBKVU5uc1hZOVNlYm82M01JRHM?oc=5,True,bullish,policy,2,0.7,"Minister says olives and citrus will reach market faster, improving supply chain efficiency."
2026-05-02,"Görünce şok olmayın! Antalya Hali'nde ürün azaldı, fiyatlar fırladı - Alanya Postası",https://news.google.com/rss/articles/CBMingFBVV95cUxNXy14bnRUUmhJc2dlOEljVlNjaEo1MVVfMklocGM0LUdUYXZkTU5BY3B3TG9kN2RsaWYwWmxjU0hGR0dFMW5kcHdpMGV3eFFwczV4QUlKVEVSUTNUUGFRem81OWFIVWVNZVJ0ZFZYSFczUnFTT01ybS01Q3BCbDhScXdxTF8yeW50ZE02YXNaWWdYcVMwQUMzWWVxZ1dJQQ?oc=5,True,bullish,supply,2,0.8,Product decrease in Antalya market leads to price surge for oranges.
2026-05-03,Antalya Hal’inde meyve ve sebze fiyatları patladı - baskentgazete.com.tr,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPSzZobGhPTzlqdHcxSWk1eWhWS092MFZJdHhsbHBkYTF6U1B2QVhXUC1xakxocXNOcVIyNlFnaF9WTkRQQ0xIWlluTkJmZEFxd1R5dGNOR2FCYS1pbUpPcGpwSnZCYjF4UHZNZEFoYTdzbEYzbVJJdTREUmowa1Z4SFVCVktYeUhO0gGOAUFVX3lxTE9tSEVsMTl2TXJialVxeFZOQ09EVVNwWU5EM3RPVGt6OGw5YjNjX3RRcGdQMkN5UHBNc0x4SWNkSHVha1hUNXRNa29lRWhOU092MzdYVlhhX0xXZ1lkbU10VV9OSGNSYXJuU2xPblRPUFVuY09fQ0FBejJ6UzNNdmF5eWUyd3hucEdzeHdYSFE?oc=5,False,neutral,other,1,0.7,"Article reports general fruit and vegetable price surge in Antalya market, no specific orange mention."
