date,policy_impact_score,policy_event_count_30d,policy_event_count_90d,event_regulation_active,event_sanction_active,event_frost_active,event_economic_active,event_supply_active,event_trade_active,event_pandemic_active,policy_impact_30d_avg,policy_impact_90d_avg
2007-01-01,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-02,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-03,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-04,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-05,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-06,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-07,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-08,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-09,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-10,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-11,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-12,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-13,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-14,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-15,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-16,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-17,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-18,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-19,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-20,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-21,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-22,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-23,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-24,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-25,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2007-01-26,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
