date,temp_max,temp_min,temp_mean,precipitation,humidity,wind_speed_max,frost,severe_frost,temp_range,is_forecast
2007-01-01,14.6,6.7,9.8,0.0,66.0,10.9,0,0,7.899999999999999,False
2007-01-02,14.1,5.2,9.5,0.0,72.0,13.1,0,0,8.899999999999999,False
2007-01-03,13.3,7.1,10.6,20.1,91.0,23.4,0,0,6.200000000000001,False
2007-01-04,12.4,8.3,11.2,43.4,90.0,22.4,0,0,4.1,False
2007-01-05,12.2,7.9,9.6,5.5,83.0,9.2,0,0,4.299999999999999,False
2007-01-06,11.7,5.3,8.7,1.8,83.0,7.2,0,0,6.4,False
2007-01-07,12.5,4.5,8.5,0.7,78.0,7.6,0,0,8.0,False
2007-01-08,11.7,7.9,9.6,0.2,76.0,5.0,0,0,3.799999999999999,False
2007-01-09,12.3,6.5,9.5,0.1,84.0,6.2,0,0,5.800000000000001,False
2007-01-10,14.1,6.1,10.0,0.0,83.0,7.9,0,0,8.0,False
2007-01-11,13.8,5.5,9.7,0.0,76.0,8.2,0,0,8.3,False
2007-01-12,11.8,6.9,9.3,2.5,81.0,8.8,0,0,4.9,False
2007-01-13,12.5,8.3,10.6,5.0,84.0,21.6,0,0,4.199999999999999,False
2007-01-14,15.9,8.0,11.5,0.0,81.0,13.3,0,0,7.9,False
2007-01-15,15.4,6.2,10.5,0.0,82.0,8.9,0,0,9.2,False
2007-01-16,16.9,5.6,10.7,0.0,80.0,12.4,0,0,11.3,False
2007-01-17,16.9,5.7,10.7,0.0,75.0,7.4,0,0,11.2,False
2007-01-18,14.9,7.7,10.8,0.0,72.0,8.7,0,0,7.2,False
2007-01-19,14.0,5.9,10.2,0.5,85.0,17.4,0,0,8.1,False
2007-01-20,16.0,9.7,12.4,0.0,65.0,19.5,0,0,6.300000000000001,False
2007-01-21,15.3,6.3,11.1,0.0,55.0,11.8,0,0,9.0,False
2007-01-22,15.2,7.7,11.1,0.0,68.0,9.9,0,0,7.499999999999999,False
2007-01-23,14.7,9.0,11.4,0.0,78.0,9.7,0,0,5.699999999999999,False
2007-01-24,14.8,7.8,11.0,0.0,85.0,12.8,0,0,7.000000000000001,False
2007-01-25,15.7,9.2,11.8,0.0,80.0,15.6,0,0,6.5,False
2007-01-26,16.3,8.0,11.6,0.0,74.0,11.5,0,0,8.3,False
2007-01-27,15.6,8.9,11.7,0.0,76.0,10.0,0,0,6.699999999999999,False
2007-01-28,15.6,4.0,10.5,4.5,71.0,34.9,0,0,11.6,False
2007-01-29,11.2,2.2,7.0,0.0,54.0,18.7,0,0,9.0,False
2007-01-30,13.3,4.7,8.6,0.0,62.0,20.0,0,0,8.600000000000001,False
2007-01-31,12.3,6.6,8.9,0.0,58.0,12.2,0,0,5.700000000000001,False
2007-02-01,11.7,6.4,8.8,0.0,71.0,10.0,0,0,5.299999999999999,False
2007-02-02,9.1,7.6,8.6,30.5,87.0,12.1,0,0,1.5,False
2007-02-03,9.5,7.0,8.2,10.0,69.0,17.4,0,0,2.5,False
2007-02-04,11.2,2.0,7.2,0.0,67.0,13.9,0,0,9.2,False
2007-02-05,9.3,5.4,7.1,11.6,79.0,13.5,0,0,3.9,False
2007-02-06,10.0,4.2,6.9,4.4,72.0,8.7,0,0,5.8,False
2007-02-07,13.2,4.3,8.5,0.0,64.0,8.7,0,0,8.899999999999999,False
2007-02-08,13.2,5.3,9.4,0.0,78.0,10.5,0,0,7.899999999999999,False
2007-02-09,14.4,4.9,9.8,0.0,82.0,9.8,0,0,9.5,False
2007-02-10,15.6,3.8,9.8,0.0,84.0,11.5,0,0,11.8,False
2007-02-11,14.7,7.2,11.4,0.0,83.0,14.5,0,0,7.499999999999999,False
2007-02-12,13.5,9.3,11.3,2.1,81.0,17.7,0,0,4.199999999999999,False
2007-02-13,16.0,6.9,11.8,0.0,81.0,16.6,0,0,9.1,False
2007-02-14,14.8,9.4,11.5,10.3,89.0,22.2,0,0,5.4,False
2007-02-15,13.9,6.6,10.1,2.3,83.0,12.4,0,0,7.300000000000001,False
2007-02-16,15.2,4.6,10.2,0.2,83.0,7.3,0,0,10.6,False
2007-02-17,12.2,9.0,10.5,21.3,91.0,25.3,0,0,3.2,False
2007-02-18,17.0,9.3,13.1,3.6,75.0,22.2,0,0,7.699999999999999,False
2007-02-19,15.3,6.7,11.3,0.1,84.0,11.3,0,0,8.600000000000001,False
2007-02-20,14.6,6.7,11.2,0.0,84.0,11.4,0,0,7.899999999999999,False
2007-02-21,16.4,8.9,12.2,0.0,79.0,9.2,0,0,7.499999999999998,False
2007-02-22,18.2,6.6,12.7,0.0,76.0,9.7,0,0,11.6,False
2007-02-23,16.4,6.2,11.9,0.0,80.0,13.8,0,0,10.2,False
2007-02-24,18.2,8.6,13.5,0.0,67.0,15.0,0,0,9.6,False
2007-02-25,16.9,8.2,12.4,3.7,79.0,17.3,0,0,8.7,False
2007-02-26,16.4,7.6,12.1,0.0,80.0,16.9,0,0,8.799999999999999,False
2007-02-27,15.6,8.8,12.1,0.0,80.0,15.6,0,0,6.799999999999999,False
2007-02-28,14.0,9.5,11.6,26.9,93.0,19.9,0,0,4.5,False
2007-03-01,15.6,5.7,11.2,0.0,82.0,15.1,0,0,9.9,False
2007-03-02,16.4,6.6,12.1,0.0,81.0,16.1,0,0,9.8,False
2007-03-03,17.3,9.7,13.3,0.4,86.0,15.9,0,0,7.600000000000001,False
2007-03-04,17.3,8.4,13.3,0.0,85.0,16.5,0,0,8.9,False
2007-03-05,17.1,8.6,13.1,0.4,82.0,13.0,0,0,8.500000000000002,False
2007-03-06,17.4,7.3,12.1,0.0,67.0,13.4,0,0,10.099999999999998,False
2007-03-07,16.2,7.8,11.8,0.0,72.0,11.2,0,0,8.399999999999999,False
2007-03-08,16.9,8.5,12.6,0.0,78.0,10.8,0,0,8.399999999999999,False
2007-03-09,19.2,7.8,13.6,0.0,82.0,11.8,0,0,11.4,False
2007-03-10,19.5,9.7,14.9,0.0,75.0,14.5,0,0,9.8,False
2007-03-11,20.8,12.7,16.9,0.0,50.0,16.4,0,0,8.100000000000001,False
2007-03-12,20.3,9.8,15.3,0.2,71.0,10.6,0,0,10.5,False
2007-03-13,16.7,10.2,13.3,14.2,80.0,11.2,0,0,6.5,False
2007-03-14,13.0,6.4,9.6,2.1,52.0,10.6,0,0,6.6,False
2007-03-15,15.9,5.2,10.7,0.0,59.0,15.4,0,0,10.7,False
2007-03-16,15.9,6.8,12.0,1.2,68.0,13.3,0,0,9.1,False
2007-03-17,17.2,6.9,12.3,0.0,64.0,16.8,0,0,10.3,False
2007-03-18,17.3,7.3,12.8,0.2,75.0,18.1,0,0,10.0,False
2007-03-19,16.6,8.5,12.7,0.0,83.0,16.1,0,0,8.100000000000001,False
2007-03-20,16.2,10.5,13.2,2.6,82.0,19.9,0,0,5.699999999999999,False
2007-03-21,17.6,11.5,14.2,0.0,74.0,14.8,0,0,6.100000000000001,False
2007-03-22,18.1,10.7,14.7,0.0,63.0,20.4,0,0,7.400000000000002,False
2007-03-23,18.4,12.0,15.3,8.2,77.0,22.7,0,0,6.399999999999999,False
